CRATER_ID,CRATER_NAME,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG,MORPHOLOGY_EJECTA_1,MORPHOLOGY_EJECTA_2,MORPHOLOGY_EJECTA_3,NUMBER_LAYERS
10-003855, ,8.683,-83.473,1.9,0, , , ,0
10-003856, ,6.529,-47.029,1.9,0, , , ,0
10-003857, ,19.939,-69.654,1.9,0, , , ,0
10-003858, ,2.312,-52.764,1.9,0, , , ,0
10-003859, ,27.485,-80.942,1.9,0, , , ,0
10-003860, ,7.432,-72.468,1.9,0, , , ,0
10-003861, ,2.544,-49.783,1.9,0, , , ,0
10-003862, ,24.886,-85.36,1.9,0, , , ,0
10-003863, ,29.929,-64.999,1.9,0, , , ,0
10-003864, ,10.359,-83.713,1.9,0, , , ,0
10-003865, ,15.883,-71.277,1.9,0, , , ,0
10-003866, ,7.511,-66.481,1.9,0, , , ,0
10-003867, ,6.929,-50.608,1.9,0, , , ,0
10-003868, ,23.114,-89.437,1.9,0, , , ,0
10-003869, ,22.36,-64.018,1.9,0, , , ,0
10-003870, ,12.86,-55.501,1.9,0, , , ,0
10-003871, ,13.987,-48.705,1.9,0, , , ,0
10-003872, ,10.689,-53.76,1.9,0, , , ,0
10-003873, ,5.997,-53.526,1.9,0, , , ,0
10-003874, ,4.082,-71.889,1.9,0, , , ,0
10-003875, ,8.369,-52.606,1.9,0, , , ,0
10-003876, ,1.811,-49.824,1.9,0, , , ,0
10-003877, ,4.095,-51.386,1.9,0, , , ,0
10-003878, ,25.578,-50.842,1.9,0, , , ,0
10-003879, ,9.587,-72.411,1.9,0, , , ,0
10-003880, ,19.183,-65.711,1.9,0, , , ,0
10-003881, ,9.865,-69.509,1.9,0, , , ,0
10-003882, ,13.383,-55.07,1.9,0, , , ,0
10-003883, ,2.393,-52.312,1.9,0, , , ,0
10-003884, ,1.236,-56.939,1.9,0, , , ,0
10-003885, ,2.83,-58.211,1.9,0, , , ,0
10-003886, ,23.837,-87.801,1.89,0, , , ,0
10-003887, ,23.92,-56.776,1.89,0, , , ,0
10-003888, ,1.135,-59.511,1.89,0, , , ,0
10-003889, ,2.91,-81.004,1.89,0, , , ,0
10-003890, ,4.514,-73.929,1.89,0, , , ,0
10-003891, ,8.388,-52.22,1.89,0, , , ,0
10-003892, ,28.555,-83.4,1.89,0, , , ,0
10-003893, ,1.092,-50.567,1.89,0, , , ,0
10-003894, ,7.36,-54.629,1.89,0, , , ,0
10-003895, ,15.912,-77.488,1.89,0, , , ,0
10-003896, ,13.223,-45.411,1.89,0, , , ,0
10-003897, ,.702,-66.687,1.89,0, , , ,0
10-003898, ,16.133,-50.619,1.89,0, , , ,0
10-003899, ,8.872,-46.405,1.89,0, , , ,0
10-003900, ,13.752,-46.699,1.89,0, , , ,0
10-003901, ,3.671,-72.48,1.89,0, , , ,0
10-003902, ,4.397,-77.165,1.89,0, , , ,0
10-003903, ,21.943,-63.745,1.89,0, , , ,0
10-003904, ,27.011,-71.621,1.89,0, , , ,0
10-003905, ,2.466,-48.182,1.89,0, , , ,0
10-003906, ,.891,-88.065,1.89,0, , , ,0
10-003907, ,14.82,-68.981,1.89,0, , , ,0
10-003908, ,9.174,-47.147,1.89,0, , , ,0
10-003909, ,4.411,-74.804,1.89,0, , , ,0
10-003910, ,7.269,-55.924,1.89,0, , , ,0
10-003911, ,13.932,-56.264,1.89,0, , , ,0
10-003912, ,27.747,-47.488,1.89,0, , , ,0
10-003913, ,4.081,-52.016,1.89,0, , , ,0
10-003914, ,8.561,-52.008,1.89,0, , , ,0
10-003915, ,6.973,-50.528,1.89,0, , , ,0
10-003916, ,1.612,-54.079,1.89,0, , , ,0
10-003917, ,2.572,-81.509,1.89,0, , , ,0
10-003918, ,16.643,-62.037,1.89,0, , , ,0
10-003919, ,6.961,-55.483,1.89,0, , , ,0
10-003920, ,.75,-53.615,1.89,0, , , ,0
10-003921, ,26.605,-79.759,1.89,0, , , ,0
10-003922, ,.885,-60.562,1.89,0, , , ,0
10-003923, ,7.519,-51.164,1.89,0, , , ,0
10-003924, ,1.423,-51.063,1.88,0, , , ,0
10-003925, ,27.004,-74.567,1.88,0, , , ,0
10-003926, ,8.361,-52.367,1.88,0, , , ,0
10-003927, ,29.531,-89.794,1.88,0, , , ,0
10-003928, ,18.657,-61.947,1.88,0, , , ,0
10-003929, ,3.642,-52.306,1.88,0, , , ,0
10-003930, ,1.946,-45.561,1.88,0, , , ,0
10-003931, ,12.291,-51.927,1.88,0, , , ,0
10-003932, ,15.145,-56.817,1.88,0, , , ,0
10-003933, ,2.9,-63.577,1.88,0, , , ,0
10-003934, ,29.009,-48.533,1.88,0, , , ,0
10-003935, ,3.819,-54.649,1.88,0, , , ,0
10-003936, ,8.553,-51.963,1.88,0, , , ,0
10-003937, ,6.329,-58.233,1.88,0, , , ,0
10-003938, ,9.439,-69.245,1.88,0, , , ,0
10-003939, ,6.945,-62.252,1.88,0, , , ,0
10-003940, ,2.542,-63.448,1.88,0, , , ,0
10-003941, ,4.475,-51.778,1.88,0, , , ,0
10-003942, ,1.266,-50.987,1.88,0, , , ,0
10-003943, ,7.915,-52.225,1.88,0, , , ,0
10-003944, ,28.785,-69.48,1.88,0, , , ,0
10-003945, ,14.603,-65.308,1.88,0, , , ,0
10-003946, ,3.706,-50.594,1.88,0, , , ,0
10-003947, ,3.81,-54.196,1.88,0, , , ,0
10-003948, ,15.267,-55.228,1.88,0, , , ,0
10-003949, ,14.669,-69.337,1.88,0, , , ,0
10-003950, ,18.079,-63.161,1.88,0, , , ,0
10-003951, ,4.946,-57.931,1.88,0, , , ,0
10-003952, ,20.424,-83.379,1.88,0, , , ,0
10-003953, ,6.284,-76.059,1.88,0, , , ,0
10-003954, ,13.771,-52.313,1.88,0, , , ,0
10-003955, ,8.745,-62.569,1.87,0, , , ,0
10-003956, ,7.416,-56.447,1.87,0, , , ,0
10-003957, ,23.86,-85.234,1.87,0, , , ,0
10-003958, ,23.978,-57.762,1.87,0, , , ,0
10-003959, ,1.67,-56.875,1.87,0, , , ,0
10-003960, ,23.549,-85.277,1.87,0, , , ,0
10-003961, ,27.639,-74.956,1.87,0, , , ,0
10-003962, ,6.749,-62.339,1.87,0, , , ,0
10-003963, ,1.95,-65.105,1.87,0, , , ,0
10-003964, ,26.605,-84.6,1.87,0, , , ,0
10-003965, ,1.45,-73.297,1.87,0, , , ,0
10-003966, ,18.678,-48.936,1.87,0, , , ,0
10-003967, ,29.569,-47.446,1.87,0, , , ,0
10-003968, ,10.456,-50.608,1.87,0, , , ,0
10-003969, ,1.176,-51.214,1.87,0, , , ,0
10-003970, ,2.802,-54.467,1.87,0, , , ,0
10-003971, ,1.796,-48.382,1.87,0, , , ,0
10-003972, ,1.702,-50.495,1.87,0, , , ,0
10-003973, ,26.083,-78.938,1.87,0, , , ,0
10-003974, ,15.671,-67.519,1.87,0, , , ,0
10-003975, ,26.768,-89.127,1.87,0, , , ,0
10-003976, ,2.083,-77.078,1.87,0, , , ,0
10-003977, ,26.76,-77.19,1.87,0, , , ,0
10-003978, ,1.88,-47.785,1.87,0, , , ,0
10-003979, ,22.76,-84.505,1.87,0, , , ,0
10-003980, ,4.31,-51.497,1.87,0, , , ,0
10-003981, ,3.129,-50.087,1.87,0, , , ,0
10-003982, ,8.661,-56.03,1.87,0, , , ,0
10-003983, ,.926,-49.027,1.87,0, , , ,0
10-003984, ,8.642,-61.705,1.87,0, , , ,0
10-003985, ,22.628,-45.517,1.86,0, , , ,0
10-003986, ,.663,-49.064,1.86,0, , , ,0
10-003987, ,18.727,-60.83,1.86,0, , , ,0
10-003988, ,27.719,-47.691,1.86,0, , , ,0
10-003989, ,28.024,-65.391,1.86,0, , , ,0
10-003990, ,.3,-52.626,1.86,0, , , ,0
10-003991, ,6.519,-67.694,1.86,0, , , ,0
10-003992, ,9.53,-47.772,1.86,0, , , ,0
10-003993, ,12.164,-45.978,1.86,0, , , ,0
10-003994, ,8.993,-51.23,1.86,0, , , ,0
10-003995, ,21.407,-86.742,1.86,0, , , ,0
10-003996, ,10.106,-59.357,1.86,0, , , ,0
10-003997, ,13.034,-49.939,1.86,0, , , ,0
10-003998, ,22.447,-88.894,1.86,0, , , ,0
10-003999, ,1.513,-56.029,1.86,0, , , ,0
10-004000, ,3.468,-54.604,1.86,0, , , ,0
10-004001, ,15.877,-78.002,1.86,0, , , ,0
10-004002, ,9.524,-57.291,1.86,0, , , ,0
10-004003, ,23.649,-62.698,1.86,0, , , ,0
10-004004, ,21.04,-79.363,1.86,0, , , ,0
10-004005, ,11.006,-72.432,1.86,0, , , ,0
10-004006, ,27.303,-89.175,1.86,0, , , ,0
10-004007, ,9.696,-73.112,1.86,0, , , ,0
10-004008, ,3.831,-49.558,1.86,0, , , ,0
10-004009, ,19.891,-51.184,1.86,0, , , ,0
10-004010, ,2.076,-70.823,1.86,0, , , ,0
10-004011, ,5.334,-54.97,1.86,0, , , ,0
10-004012, ,20.82,-78.971,1.86,0, , , ,0
10-004013, ,3.839,-50.766,1.86,0, , , ,0
10-004014, ,9.061,-51.094,1.86,0, , , ,0
10-004015, ,12.354,-52.829,1.86,0, , , ,0
10-004016, ,1.036,-49.632,1.86,0, , , ,0
10-004017, ,26.96,-79.803,1.86,0, , , ,0
10-004018, ,17.707,-69.417,1.86,0, , , ,0
10-004019, ,23.3,-83.944,1.86,0, , , ,0
10-004020, ,13.454,-60.981,1.86,0, , , ,0
10-004021, ,8.705,-74.005,1.86,0, , , ,0
10-004022, ,5.261,-84.938,1.86,0, , , ,0
10-004023, ,8.275,-52.121,1.86,0, , , ,0
10-004024, ,5.129,-46.52,1.86,0, , , ,0
10-004025, ,19.65,-69.433,1.85,0, , , ,0
10-004026, ,3.352,-49.412,1.85,0, , , ,0
10-004027, ,15.123,-63.93,1.85,0, , , ,0
10-004028, ,20.598,-49.646,1.85,0, , , ,0
10-004029, ,1.282,-76.648,1.85,0, , , ,0
10-004030,Funchal,22.679,-49.604,1.85,0, , , ,0
10-004031, ,23.628,-84.268,1.85,0, , , ,0
10-004032, ,10.423,-50.661,1.85,0, , , ,0
10-004033, ,28.562,-62.05,1.85,0, , , ,0
10-004034, ,25.306,-47.889,1.85,0, , , ,0
10-004035, ,9.106,-65.57,1.85,0, , , ,0
10-004036, ,2.084,-53.059,1.85,0, , , ,0
10-004037, ,28.7,-85.37,1.85,0, , , ,0
10-004038, ,28.996,-50.546,1.85,0, , , ,0
10-004039, ,2.862,-62.217,1.85,0, , , ,0
10-004040, ,2.975,-68.949,1.85,0, , , ,0
10-004041, ,3.518,-52.31,1.85,0, , , ,0
10-004042, ,1.222,-52.211,1.85,0, , , ,0
10-004043, ,5.874,-66.44,1.85,0, , , ,0
10-004044, ,6.717,-50.568,1.85,0, , , ,0
10-004045, ,12.746,-50.776,1.85,0, , , ,0
10-004046, ,.319,-84.713,1.85,0, , , ,0
10-004047, ,28.891,-58.047,1.85,0, , , ,0
10-004048, ,6.73,-67.207,1.85,0, , , ,0
10-004049, ,27.014,-50.889,1.85,0, , , ,0
10-004050, ,9.013,-71.684,1.85,0, , , ,0
10-004051, ,19.187,-65.731,1.85,0, , , ,0
10-004052, ,2.991,-50.118,1.85,0, , , ,0
10-004053, ,6.546,-50.683,1.85,0, , , ,0
10-004054, ,21.762,-80.334,1.85,0, , , ,0
10-004055, ,3.371,-49.384,1.85,0, , , ,0
10-004056, ,22.003,-85.103,1.85,0, , , ,0
10-004057, ,15.387,-54.1,1.85,0, , , ,0
10-004058, ,8.726,-51.114,1.85,0, , , ,0
10-004059, ,2.599,-69.017,1.84,0, , , ,0
10-004060, ,1.738,-50.072,1.84,0, , , ,0
10-004061, ,9.194,-63.637,1.84,0, , , ,0
10-004062, ,18.79,-64.183,1.84,0, , , ,0
10-004063, ,19.918,-77.651,1.84,0, , , ,0
10-004064, ,16.394,-72.971,1.84,0, , , ,0
10-004065, ,12.532,-52.098,1.84,0, , , ,0
10-004066, ,.031,-78.893,1.84,0, , , ,0
10-004067, ,7.569,-52.508,1.84,0, , , ,0
10-004068, ,15.122,-59.191,1.84,0, , , ,0
10-004069, ,10.683,-48.974,1.84,0, , , ,0
10-004070, ,5.1,-50.351,1.84,0, , , ,0
10-004071, ,23.203,-50.219,1.84,0, , , ,0
10-004072, ,.05,-50.536,1.84,0, , , ,0
10-004073, ,2.098,-50.014,1.84,0, , , ,0
10-004074, ,22.773,-57.928,1.84,0, , , ,0
10-004075, ,27.061,-56.21,1.84,0, , , ,0
10-004076, ,17.964,-66.955,1.84,0, , , ,0
10-004077, ,15.888,-79.653,1.84,0, , , ,0
10-004078, ,7.558,-51.388,1.84,0, , , ,0
10-004079, ,28.279,-57.157,1.84,0, , , ,0
10-004080, ,10.475,-59.816,1.84,0, , , ,0
10-004081, ,20.104,-66.299,1.84,0, , , ,0
10-004082, ,26.479,-76.594,1.84,0, , , ,0
10-004083, ,2.681,-51.266,1.84,0, , , ,0
10-004084, ,12.399,-67.948,1.84,0, , , ,0
10-004085, ,9.611,-47.143,1.84,0, , , ,0
10-004086, ,2.301,-48.947,1.84,0, , , ,0
10-004087, ,7.12,-47.108,1.84,0, , , ,0
10-004088, ,29.797,-76.755,1.84,0, , , ,0
10-004089, ,7.447,-51.599,1.83,0, , , ,0
10-004090, ,7.113,-45.717,1.83,0, , , ,0
10-004091, ,18.262,-77.992,1.83,0, , , ,0
10-004092, ,10.797,-50.99,1.83,0, , , ,0
10-004093, ,2.525,-49.83,1.83,0, , , ,0
10-004094, ,28.506,-53.223,1.83,0, , , ,0
10-004095, ,7.079,-45.7,1.83,0, , , ,0
10-004096, ,13.939,-79.782,1.83,0, , , ,0
10-004097, ,9.438,-47.821,1.83,0, , , ,0
10-004098, ,3.6,-47.962,1.83,0, , , ,0
10-004099, ,.554,-75.554,1.83,0, , , ,0
10-004100, ,19.841,-83.475,1.83,0, , , ,0
10-004101, ,22.982,-53.971,1.83,0, , , ,0
10-004102, ,2.563,-50.295,1.83,0, , , ,0
10-004103, ,11.644,-49.196,1.83,0, , , ,0
10-004104, ,28.078,-79.916,1.83,0, , , ,0
10-004105, ,13.543,-70.173,1.83,0, , , ,0
10-004106, ,23.97,-86.135,1.83,0, , , ,0
10-004107, ,2.131,-46.297,1.83,0, , , ,0
10-004108, ,2.718,-45.475,1.83,0, , , ,0
10-004109, ,29.012,-84.81,1.83,0, , , ,0
10-004110, ,22.241,-89.28,1.83,0, , , ,0
10-004111, ,1.487,-73.271,1.83,0, , , ,0
10-004112, ,23.611,-82.424,1.83,0, , , ,0
10-004113, ,2.789,-50.283,1.83,0, , , ,0
10-004114, ,16.751,-74.64,1.83,0, , , ,0
10-004115, ,3.394,-86.781,1.83,0, , , ,0
10-004116, ,3.244,-50.212,1.83,0, , , ,0
10-004117, ,1.076,-50.966,1.83,0, , , ,0
10-004118, ,19.773,-62.675,1.83,0, , , ,0
10-004119, ,6.08,-48.589,1.83,0, , , ,0
10-004120, ,20.238,-48.427,1.82,0, , , ,0
10-004121, ,7.301,-56.875,1.82,0, , , ,0
10-004122, ,3.378,-49.202,1.82,0, , , ,0
10-004123, ,10.853,-61.929,1.82,0, , , ,0
10-004124, ,2.852,-64.384,1.82,0, , , ,0
10-004125, ,3.635,-89.376,1.82,0, , , ,0
10-004126, ,20.512,-57.561,1.82,0, , , ,0
10-004127, ,9.814,-53.735,1.82,0, , , ,0
10-004128, ,8.409,-55.519,1.82,0, , , ,0
10-004129, ,21.948,-57.489,1.82,0, , , ,0
10-004130, ,8.343,-51.128,1.82,0, , , ,0
10-004131, ,23.023,-62.724,1.82,0, , , ,0
10-004132, ,4.981,-54.077,1.82,0, , , ,0
10-004133, ,4.133,-52.792,1.82,0, , , ,0
10-004134, ,26.765,-87.34,1.82,0, , , ,0
10-004135, ,26.011,-46.901,1.82,0, , , ,0
10-004136, ,8.29,-51.499,1.82,0, , , ,0
10-004137, ,.93,-78.276,1.82,0, , , ,0
10-004138, ,6.899,-48.329,1.82,0, , , ,0
10-004139, ,25.312,-81.845,1.82,0, , , ,0
10-004140, ,.943,-71.476,1.82,0, , , ,0
10-004141, ,4.848,-58.255,1.82,0, , , ,0
10-004142, ,13.184,-48.792,1.82,0, , , ,0
10-004143, ,.08,-50.137,1.82,0, , , ,0
10-004144, ,14.593,-75.825,1.82,0, , , ,0
10-004145, ,10.532,-61.748,1.82,0, , , ,0
10-004146, ,26.542,-81.434,1.82,0, , , ,0
10-004147, ,10.655,-61.129,1.82,0, , , ,0
10-004148, ,15.62,-66.096,1.82,0, , , ,0
10-004149, ,10.053,-53.634,1.82,0, , , ,0
10-004150, ,22.885,-84.384,1.82,0, , , ,0
10-004151, ,15.072,-67.247,1.82,0, , , ,0
10-004152, ,14.991,-69.96,1.82,0, , , ,0
10-004153, ,18.372,-54.482,1.82,0, , , ,0
10-004154, ,9.693,-48.154,1.82,0, , , ,0
10-004155, ,23.683,-84.419,1.82,0, , , ,0
10-004156, ,6.98,-46.133,1.82,0, , , ,0
10-004157, ,1.947,-69.414,1.82,0, , , ,0
10-004158, ,14.216,-63.324,1.82,0, , , ,0
10-004159, ,25.517,-85.86,1.82,0, , , ,0
10-004160, ,22.519,-84.08,1.82,0, , , ,0
10-004161, ,6.055,-45.048,1.82,0, , , ,0
10-004162, ,22.278,-63.874,1.82,0, , , ,0
10-004163, ,14.451,-49.428,1.82,0, , , ,0
10-004164, ,23.495,-86.037,1.82,0, , , ,0
10-004165, ,24.54,-58.041,1.82,0, , , ,0
10-004166, ,1.544,-75.616,1.82,0, , , ,0
10-004167, ,8.153,-68.349,1.81,0, , , ,0
10-004168, ,7.441,-45.832,1.81,0, , , ,0
10-004169, ,9.437,-64.293,1.81,0, , , ,0
10-004170, ,22.731,-57.846,1.81,0, , , ,0
10-004171, ,19.092,-58.078,1.81,0, , , ,0
10-004172, ,1.108,-51.301,1.81,0, , , ,0
10-004173, ,23.341,-82.566,1.81,0, , , ,0
10-004174, ,24.113,-83.329,1.81,0, , , ,0
10-004175, ,13.311,-55.04,1.81,0, , , ,0
10-004176, ,29.954,-82.874,1.81,0, , , ,0
10-004177, ,1.082,-72.397,1.81,0, , , ,0
10-004178, ,25.656,-80.142,1.81,0, , , ,0
10-004179, ,14.39,-45.02,1.81,0, , , ,0
10-004180, ,8.407,-46.758,1.81,0, , , ,0
10-004181, ,2.27,-54.559,1.81,0, , , ,0
10-004182, ,29.041,-81.163,1.81,0, , , ,0
10-004183, ,9.734,-47.106,1.81,0, , , ,0
10-004184, ,2.715,-53.471,1.81,0, , , ,0
10-004185, ,9.648,-47.182,1.81,0, , , ,0
10-004186, ,19.503,-56.671,1.81,0, , , ,0
10-004187, ,2.634,-66.235,1.81,0, , , ,0
10-004188, ,10.342,-65.551,1.81,0, , , ,0
10-004189, ,28.048,-89.275,1.8,0, , , ,0
10-004190, ,5.987,-45.129,1.8,0, , , ,0
10-004191, ,26.46,-87.159,1.8,0, , , ,0
10-004192, ,2.728,-49.925,1.8,0, , , ,0
10-004193, ,18.593,-59.02,1.8,0, , , ,0
10-004194, ,9.105,-51.048,1.8,0, , , ,0
10-004195, ,2.167,-74.437,1.8,0, , , ,0
10-004196, ,13.478,-69.43,1.8,0, , , ,0
10-004197, ,18.65,-55.697,1.8,0, , , ,0
10-004198, ,5.027,-45.594,1.8,0, , , ,0
10-004199, ,5.904,-72.336,1.8,0, , , ,0
10-004200, ,2.148,-49.659,1.8,0, , , ,0
10-004201, ,5.004,-68.538,1.8,0, , , ,0
10-004202, ,21.637,-84.692,1.8,0, , , ,0
10-004203, ,17.842,-64.136,1.8,0, , , ,0
10-004204, ,3.679,-67.399,1.8,0, , , ,0
10-004205, ,17.751,-78.328,1.8,0, , , ,0
10-004206, ,2.106,-49.539,1.8,0, , , ,0
10-004207, ,2.364,-73.468,1.8,0, , , ,0
10-004208, ,24.101,-86.139,1.8,0, , , ,0
10-004209, ,9.134,-47.333,1.8,0, , , ,0
10-004210, ,10.527,-50.595,1.8,0, , , ,0
10-004211, ,7.844,-73.902,1.8,0, , , ,0
10-004212, ,1.072,-78.826,1.8,0, , , ,0
10-004213, ,6.857,-57.15,1.8,0, , , ,0
10-004214, ,6.588,-50.223,1.8,0, , , ,0
10-004215, ,1.042,-67.848,1.8,0, , , ,0
10-004216, ,5.044,-60.192,1.8,0, , , ,0
10-004217, ,6.273,-48.38,1.8,0, , , ,0
10-004218, ,20.714,-62.122,1.8,0, , , ,0
10-004219, ,21.17,-78.748,1.8,0, , , ,0
10-004220, ,5.563,-72.428,1.8,0, , , ,0
10-004221, ,9.621,-47.008,1.8,0, , , ,0
10-004222, ,11.548,-47.74,1.8,0, , , ,0
10-004223, ,13.525,-58.736,1.8,0, , , ,0
10-004224, ,15.654,-54.888,1.8,0, , , ,0
10-004225, ,4.701,-74.717,1.8,0, , , ,0
10-004226, ,22.597,-54.246,1.8,0, , , ,0
10-004227, ,12.124,-49.422,1.79,0, , , ,0
10-004228, ,16.02,-45.971,1.79,0, , , ,0
10-004229, ,22.994,-58.21,1.79,0, , , ,0
10-004230, ,10.258,-48.329,1.79,0, , , ,0
10-004231, ,9.016,-46.252,1.79,0, , , ,0
10-004232, ,24.987,-63.625,1.79,0, , , ,0
10-004233, ,2.174,-86.593,1.79,0, , , ,0
10-004234, ,5.001,-69.904,1.79,0, , , ,0
10-004235, ,.203,-48.894,1.79,0, , , ,0
10-004236, ,17.674,-56.586,1.79,0, , , ,0
10-004237, ,10.622,-59.294,1.79,0, , , ,0
10-004238, ,10.283,-54.607,1.79,0, , , ,0
10-004239, ,27.506,-88.449,1.79,0, , , ,0
10-004240, ,18.044,-85.045,1.79,0, , , ,0
10-004241, ,2.304,-48.327,1.79,0, , , ,0
10-004242, ,4.885,-60.318,1.79,0, , , ,0
10-004243, ,14.223,-51.816,1.79,0, , , ,0
10-004244, ,15.383,-64.805,1.79,0, , , ,0
10-004245, ,9.356,-49.292,1.79,0, , , ,0
10-004246, ,3.153,-55.16,1.79,0, , , ,0
10-004247, ,2.437,-45.136,1.79,0, , , ,0
10-004248, ,3.253,-77.364,1.79,0, , , ,0
10-004249, ,8.677,-53.987,1.79,0, , , ,0
10-004250, ,19.358,-47.184,1.79,0, , , ,0
10-004251, ,6.128,-77.211,1.79,0, , , ,0
10-004252, ,1.875,-49.98,1.79,0, , , ,0
10-004253, ,21.99,-56.357,1.79,0, , , ,0
10-004254, ,22.208,-48.592,1.79,0, , , ,0
10-004255, ,2.307,-50.145,1.79,0, , , ,0
10-004256, ,1.648,-52.69,1.79,0, , , ,0
10-004257, ,29.875,-58.143,1.79,0, , , ,0
10-004258, ,12.679,-46.706,1.79,0, , , ,0
10-004259, ,8.641,-54.037,1.79,0, , , ,0
10-004260, ,3.04,-84.233,1.79,0, , , ,0
10-004261, ,29.482,-75.591,1.79,0, , , ,0
10-004262, ,1.208,-56.046,1.79,0, , , ,0
10-004263, ,.627,-78.646,1.79,0, , , ,0
10-004264, ,3.893,-50.504,1.79,0, , , ,0
10-004265, ,3.028,-50.44,1.79,0, , , ,0
10-004266, ,29.275,-76.055,1.79,0, , , ,0
10-004267, ,18.616,-80.272,1.79,0, , , ,0
10-004268, ,16.725,-81.166,1.79,0, , , ,0
10-004269, ,8.44,-60.807,1.78,0, , , ,0
10-004270, ,14.282,-52.046,1.78,0, , , ,0
10-004271, ,4.304,-70.562,1.78,0, , , ,0
10-004272, ,25.664,-81.955,1.78,0, , , ,0
10-004273, ,28.469,-50.227,1.78,0, , , ,0
10-004274, ,10.554,-65.294,1.78,0, , , ,0
10-004275, ,25.979,-51.26,1.78,0, , , ,0
10-004276, ,3.38,-72.488,1.78,0, , , ,0
10-004277, ,20.785,-69.744,1.78,0, , , ,0
10-004278, ,19.782,-70.307,1.78,0, , , ,0
10-004279, ,22.667,-57.738,1.78,0, , , ,0
10-004280, ,15.926,-64.324,1.78,0, , , ,0
10-004281, ,4.1,-53.528,1.78,0, , , ,0
10-004282, ,1.962,-63.614,1.78,0, , , ,0
10-004283, ,.062,-50.431,1.78,0, , , ,0
10-004284, ,.65,-87.667,1.78,0, , , ,0
10-004285, ,3.836,-69.418,1.78,0, , , ,0
10-004286, ,1.402,-51.717,1.78,0, , , ,0
10-004287, ,.146,-51.19,1.78,0, , , ,0
10-004288, ,8.137,-66.02,1.78,0, , , ,0
10-004289, ,15.9,-83.15,1.78,0, , , ,0
10-004290, ,21.896,-62.927,1.78,0, , , ,0
10-004291, ,3.926,-49.503,1.78,0, , , ,0
10-004292, ,26.281,-84.952,1.78,0, , , ,0
10-004293, ,14.238,-56.443,1.78,0, , , ,0
10-004294, ,4.086,-50.224,1.78,0, , , ,0
10-004295, ,28.484,-55.828,1.78,0, , , ,0
10-004296, ,3.872,-61.408,1.78,0, , , ,0
10-004297, ,23.77,-86.041,1.78,0, , , ,0
10-004298, ,21.012,-65.672,1.78,0, , , ,0
10-004299, ,18.205,-46.717,1.78,0, , , ,0
10-004300, ,28.055,-70.299,1.78,0, , , ,0
10-004301, ,4.667,-55.718,1.78,0, , , ,0
10-004302, ,26.463,-45.644,1.78,0, , , ,0
10-004303, ,24.943,-89.334,1.78,0, , , ,0
10-004304, ,20.764,-89.187,1.78,0, , , ,0
10-004305, ,7.044,-46.97,1.78,0, , , ,0
10-004306, ,2.805,-48.134,1.78,0, , , ,0
10-004307, ,5.793,-71.285,1.78,0, , , ,0
10-004308, ,20.022,-50.644,1.77,0, , , ,0
10-004309, ,1.358,-56.061,1.77,0, , , ,0
10-004310, ,8.401,-51.732,1.77,0, , , ,0
10-004311, ,18.664,-65.984,1.77,0, , , ,0
10-004312, ,3.186,-58.237,1.77,0, , , ,0
10-004313, ,4.375,-58.047,1.77,0, , , ,0
10-004314, ,2.558,-53.344,1.77,0, , , ,0
10-004315, ,26.278,-81.417,1.77,0, , , ,0
10-004316, ,27.022,-82.291,1.77,0, , , ,0
10-004317, ,3.547,-53.827,1.77,0, , , ,0
10-004318, ,5.856,-85.274,1.77,0, , , ,0
10-004319, ,13.777,-69.303,1.77,0, , , ,0
10-004320, ,17.12,-61.722,1.77,0, , , ,0
10-004321, ,22.001,-58.843,1.77,0, , , ,0
10-004322, ,26.648,-62.866,1.77,0, , , ,0
10-004323, ,.956,-58.512,1.77,0, , , ,0
10-004324, ,5.768,-47.324,1.77,0, , , ,0
10-004325, ,.123,-53.4,1.77,0, , , ,0
10-004326, ,8.538,-52.076,1.77,0, , , ,0
10-004327, ,3.099,-51.23,1.77,0, , , ,0
10-004328, ,7.019,-50.789,1.77,0, , , ,0
10-004329, ,7.003,-47.922,1.77,0, , , ,0
10-004330, ,12.731,-52.128,1.77,0, , , ,0
10-004331, ,20.948,-61.187,1.77,0, , , ,0
10-004332, ,1.331,-49.919,1.77,0, , , ,0
10-004333, ,25.123,-79.82,1.77,0, , , ,0
10-004334, ,24.212,-50.997,1.77,0, , , ,0
10-004335, ,2.446,-48.631,1.77,0, , , ,0
10-004336, ,26.436,-55.061,1.77,0, , , ,0
10-004337, ,3.491,-54.059,1.77,0, , , ,0
10-004338, ,24.044,-85.965,1.77,0, , , ,0
10-004339, ,8.747,-51.66,1.77,0, , , ,0
10-004340, ,24.165,-53.441,1.77,0, , , ,0
10-004341, ,5.701,-71.546,1.77,0, , , ,0
10-004342, ,7.793,-70.872,1.77,0, , , ,0
10-004343, ,19.327,-58.559,1.77,0, , , ,0
10-004344, ,25.018,-89.232,1.77,0, , , ,0
10-004345, ,9.727,-56.479,1.77,0, , , ,0
10-004346, ,29.758,-83.652,1.77,0, , , ,0
10-004347, ,13.916,-52.212,1.77,0, , , ,0
10-004348, ,5.92,-49.604,1.77,0, , , ,0
